,ID,Text,Sub-task A,Sub-task B,en_translation
962,C20.357,"Bhai sucharita....tumhe har cheez me male female hi ghusana hai.....kyun film
craft ka aisi taisi kar rhi ho??Art and craft gender specific nahi hota,human
based hota hai.Agar male female ke chakkar me pade hote to nahi Shiv ka
Ardhnarishwar roop hota na hi vishnu ka Mohini swaroop.",CAG,NGEN,"In Bhai sucharita .... tumhe har cheez me male female hi ghusana hai ..... kyun film craft ka aisi taisi kar rhi ho ?? Art & Craft gender not specific, human-based happens.If mail affair Female pade hote to nahi Shiv ka Ardhnarishwar roop hota na hi vishnu ka Mohini swaroop."
963,C4.1269.1,@Afrid zmn comment krne wala,NAG,NGEN,@ Devotes time Caumont century and
964,C7.757.4,Mens Rea woh pratik daanpanthi rashtradrohi aatankwadi Hai.,CAG,NGEN,Men Ri He necklace Danpnthi national terrorist.
965,C36.338,"Hme marne wala chahiye saiyan ki tarah khud ki marwane wala nahi karna Johar
ki tarah",CAG,GEN,Do not own killed like saiyaan we should die like Johor
966,C36.489,Ek sahara tha wo bhi gaya.biwi nhi gf nhi .,NAG,NGEN,A resort that also Gyakbivi Nhi Nhi Gough.
967,C36.757.1,"@Random Guy khaki faukat time tum jaise kain pass hota hain jho apne fayde ke
liye aarmi ko aarmi ko bharbhad Marne ki firak mein note hain.tum zaise Nazi
ki aur mohd.ghagni ki nagayag aulad ho .agar tu itna busy hain tho bakhwas
bhaji mat kar",OAG,NGEN,@Random Guy khaki faukat time tum jaise kain pass hota hain jho apne fayde ke liye aarmi ko aarmi ko bharbhad Marne ki firak mein note hain.tum zaise Nazi ki aur mohd.ghagni ki nagayag aulad ho .agar tu itna busy hain tho bakhwas bhaji do not
968,C4.1013,"Missing , aur launde kya hal chal ?",NAG,NGEN,"Missing, and Lunde what's the solution?"
969,C4.22,भाई ये अर्जुन रेड्डी फिल्म का रीमेक है,NAG,NGEN,Brother's Arjun Reddy's film remake
970,C10.357,Ye madarchot ko goli marna chahiye. .Randi sali.,OAG,GEN,These should poop Madrchot. Krndi Sully.
971,C4.820,Chutiye bnd kr ye sab,OAG,NGEN,Cutiye off car all
972,C68.519,"Bhai... Us bhakari ke upr our ek video bana dena.... Our yeh bat yaad dilana
jo logo se hat nehi milate badan se badbu ate esliye... Pehle toh unhi logo ke
samne hat felake bhik mangti thi... Bhai ek bat toh sach he kawya our koyel
dekte toh ek jayse lekin kawya our koyel fark hota he......",CAG,NGEN,Brother ... Us bhakari ke upr our ek video bana dena .... Our yeh bat yaad dilana jo logo se hat nehi milate badan se badbu ate esliye ... Pehle toh unhi logo ke samne hat felake bhik mangti thi ... Bhai ek bat toh sach he kawya our koyel dekte toh ek jayse lekin kawya our koyel fark hota he ......
973,C7.1222,Mazaa aa gaya bhai aapka review dekh ke,NAG,NGEN,The fun was brother to see your review
974,C7.1679,आपने पूरा बैक्ग्राउंड ही बदल दीया । कुछ नया करे,NAG,NGEN,You meet Bakgraund change lamp. Something new to
975,C7.1781,нιнιнι only ѕнтee ғrιendнιp ĸregι 😀😀,NAG,NGEN,нιнιнι only ѕнтee ғrιendнιp ĸregι
976,C7.2112,Oo stree friendship karogi nice,NAG,NGEN,Oo stree fraaandship karoge nice
977,C7.2450.1,rupesh rothore bhai review dusri video mw h ye...reply to liberals h,NAG,NGEN,rupesh rothore bhai review dusri video mw h ye...reply to liberals h
978,C7.749.2,Theory Chhodiye practically sochiye !,NAG,NGEN,Theory Codiye Prktikli think!
979,C21.138,EK NUMBER BAWA,NAG,NGEN,A number of Bawa
980,C4.461,Is laore movie ki wajese break up hojaega mera,CAG,NGEN,The lore Movie Vjese brake sub Hojaaga mine
981,C7.1012,"Pratik teku ab modern cinema samjh me aara lagta.. pehle bhot buddhe Bata
karta tha tu, good, keep it up!",NAG,NGEN,"Icon Teku seems Jigsaw Modern Cinema understand .. had already told Bhot Budde you, good, keep it sub!"
982,C7.649,"Pratik bhai kya reply diya hai  
Liberal ki watt lag gayi ho",CAG,NGEN,Icons brother is caught Liberal Watt has Reply
983,C10.1182,"Jb aapko pta hai ki ye chennal aapki awaj dabane ki kosish krta hai to aap log
is debate me aate kiu ho...",CAG,NGEN,When you are Chennl know tries to suppress your voice so you guys Qiu come in this debate ...
984,C26.226.2,"Raman Singh.....jab tere pe aayegii na tabhi Tu samjhega...........judge,
police, lawyers sab mile hue Hain is dhande mein Jo sasural walo ko uksate
Hain aur faayda dekh woh sun bhi lete hain",CAG,NGEN,"Raman Singh ..... jab tere pe aayegii na tabhi Tu samjhega ........... judges, police, lawyers sab mile hue Hain is dhande mein Jo sasural walo ko uksate Hain aur faayda dekh woh sun bhi take"
985,C33.113,Bohut bohut Acha lega,NAG,NGEN,There are a lot of a lot of leg
986,C7.611,"<https://youtu.be/0Gy3yBPwevM>  
Bhai is cancer ka kuchh karo  
Chutiye log",OAG,NGEN,<Httpः: //yutukbe/0gi 3 Ybpuavan> brother do some of this cancer Cutiye people
987,C19.170,"Anchor bhai, you need some more practice.",CAG,NGEN,"Anchor bhai, you need some more practice."
988,C7.1137,Bhai teri bhi to wing pta chal rhi hai,NAG,NGEN,Brother blows thee to know Wing
989,C7.1772,Bahot bahot acchi muvi hai bhai sahid ki acting jabra,NAG,NGEN,Depression caused great movie brother Shahid's acting Jabr
990,C36.278,"Hhhhhhhh sary hindu chutye namard bud marwaty hai. 🤣🤣🤣🤣🤣🤣  
Aur chaly aye hi Pakistan sy jang larny.  
Hhhhhh go to hell hindu namard😂😂😂😂😂😂🐖🇮🇳🖕😆😆😆😆😆😁😁😁😁",OAG,GEN,Hhhhhhhh Sry Hindu Chuta Namrd Bud Marwati. And Cly A Pakistan C. Jung Larni. Hhhhhh go to hell Hindu impotent
991,C4.2130.3,Article 15 mai bhi pyaar daal dia lodu ne,CAG,GEN,Article given Lodu also love lentils May 15
992,C43.16,bhen ky lory randians,OAG,GEN,In Lori Rndians
993,C7.2381,Is vedio pe dislike karne Vale log bhi feminist hai,CAG,NGEN,This to Vedio pay Dislike People also Feminist
994,C23.41,pratik barode ne film review karty bakt hi spoil kar dia 😠,CAG,NGEN,Icon Brode been Bkt same Spoil the review film
995,C32.85,Kitna hott .top boy h kas mera b.f hita we,NAG,NGEN,Kitna hott .top boy h kas mera b.f hita we
996,C9.110,अरुंधति राय का बॉयफ्रेंड का नाम रंगा बिल्ला है,CAG,NGEN,Name the boyfriend of Arundhati Roy painted badge
997,C4.688,Mr. bakri...slow bol....,NAG,NGEN,Mr. bakri...slow bol....
998,C4.135,Maine dekha hi nahi😁😂,NAG,NGEN,I did not see
999,C36.1112.5,"@Pankaj Kumar Swain hindu, pr alag soch lekar. Jisme mai jyada baki log kam.
Soch logical hai naki mythical.",CAG,NGEN,"@ Pankaj Kumar themselves Hindu, but with different thinking. Which I much everyone else is lower. Thinking logical whose Mythical."
1000,C4.1515,Bhai Maine to 2 cigarette v Dekha hai pite hue,NAG,NGEN,Brother I saw two cigarette trade was beaten
1001,C23.44,bhai wo mahan critics kon hai,NAG,NGEN,"Brother, he is great Critics angle"
1002,C7.2415,"Okkkkk Pratik... I got it... Agar ledka thappar maare to wo NORMAL anger
management issue AUR Agar ledki thappar mare to wo ABNORMAL feminism ki
hippocrissy !!!!!! 😁  
Maan gye Pratik aap ki hippocrissy level ko bhi.... 😉",CAG,NGEN,Okkkkk Pratik ... e GOT IT ... Agar ledka thappar maare to wo NORMAL anger management issue AUR Agar ledki thappar mare to wo ABNORMAL feminism ki hippocrissy !!!!!! Maan gye Pratik aap ki hippocrissy level ko bhi ....
1003,C26.250,Accha kiya sala....chutiyo ko kharcha kr dala,CAG,NGEN,Well done put Krcha the Sala .... Chutio
1004,C7.2313,Chutiya bhakt 😒,CAG,NGEN,Foolish man
1005,C4.1483,Bhai kabir sing dekhi aur video bana daali,NAG,NGEN,Brother Kabir cast made Singh observed and video
1006,C7.1334,"Oooo stree...😀😀😀😀😀😀😀  
Friendship karogi...😀😀😀😀😀",NAG,NGEN,Oooo stree ... Friendship karogi ...
1007,C9.272,"शौरभ आप अच्छा टिकाकर हैं, आप एक दिन अच्छे राजनेता साबित होंगे यह मेरी
भविष्यवाणी हैं।",NAG,NGEN,"Surb you good Tikakr, you will be a good day politicians are my predictions."
1008,C19.25,"aaj tk ki dekhi gayi sbse best courtdrama movie, 10 me se 10",NAG,NGEN,"Today's observed was the best Kortdrima movie, 10 out of 10"
1009,C7.1504,bhaijaan aap to ye btao tshirts khaan se mngaate ho,NAG,NGEN,Baijan you tell me Tshirts go to order a
1010,C4.1052,अच्छा होता जब मूवी आइ तब आप वीडियो अपलोड करते...👍👌,NAG,NGEN,Nice when a movie i then you upload videos ...
1011,C7.615,"Baat toh sahi hai bhai lipstick under my burkha movie ko koi bhi kuch nahi
bola",NAG,NGEN,It loses the right brother Lipstick under My Burkha movie there anything uttered
1012,C4.1238,2 din me 4 videos. 👌👌,NAG,NGEN,2 din me 4 videos.
1013,C4.279,bsdk k 4-4 ad daal rha deta h betichod,OAG,GEN,Bsdk of them gives 4-4 Prahlad pulses Betichod
1014,C9.75,Rajdeep ko ku late ho bhai kush to ijjat kro Apne channel ki,CAG,NGEN,Rajdeep brother delayed some do respect the Sage of your channel
1015,C7.294,"Chandigdh mein ek nashedi ladki ne khud galat car chla kar ladke ko peeta..
Kya yhi hai mahila sakhtikarn.. Pls chandigarh wale case pe video bnao",NAG,NGEN,Chandigarh beaten a junkie girl boy running himself wrong car in .. Make this girl hardening .. Plus Chandigarh cases on video
1016,C21.68,जय सियाराम 🙏🙏,NAG,NGEN,Jai Siyaram
1017,C7.1662,Ldkiya bas chudne k kiye bni h yeh jaan lo 😅🖕,OAG,GEN,Girls know this just may be Leave a Chudne
1018,C25.618,"Neha Gupta @22.00...  
Ladki ki cost pe kyoon hai...  
Ladke ki cost pe kyoon nahi hai...  
Is desh mein agar aapko dabana hai to aap ladki ko hi dabayenge...  
Usiki saari cheezein dabayenge...  
Aap ladke k kabhi nahi dabayenge....",CAG,NGEN,Neha Gupta @ 22.00 ... Ladki ki cost pe kyoon hai ... Ladke ki cost pe kyoon nahi hai ... Is desh mein agar aapko dabana hai to aap ladki ko hi dabayenge ... Usiki saari cheezein dabayenge ... you ladke k kabhi nahi dabayenge ....
1019,C4.1415,Maha madarchod hai Bollywood,OAG,GEN,General Madrchod Bollywood
1020,C4.2134.2,"Lund mera sensible... Moral h vdo ka - don't take movies seriously... Just
watch for entertainment purpose.... Hollywood v majority level pei chutiyapa
hi dikhata h",OAG,GEN,Lund mera sensible... Moral h vdo ka - don't take movies seriously... Just watch for entertainment purpose.... Hollywood v majority level pei chutiyapa hi dikhata h
1021,C25.468,wo time gaya jab orate pareshan hoti thi ab time badal gaya,NAG,NGEN,That was the time when Orate worried now change time
1022,C33.61,C hiiiii last m chinchilla🤣🤣,NAG,NGEN,C hiiiii last m chinchilla
1023,C21.236,"Pratik bhai... Plz Ajay devgan sir ki The Legend of Bhagat singh ka bhi review
kijiye......",NAG,NGEN,Icons brother ... Pljh Ajay Devgan were Sir Legend of Bhagat Singh also enter Review ......
1024,C7.1921,ha the lallantop wala hai librl,NAG,NGEN,Ha were truly Lllntop Liberal
1025,C32.136.5,Jaldi,NAG,NGEN,soon
1026,C4.2121,Aaj Bhai form mein hai ..3 videos in a day..,NAG,NGEN,Today the brothers form Kk3 videos in a day ..
1027,C4.694.4,@KHAN SHAHAB hate kaha bola jhaatu.....uski movies jhaatu hoti hai ye bola,OAG,NGEN,Said @ Khan Sahib Hate Bola Jhatu ..... does his movies Jhatu these Bola
1028,C33.209,Bhkk teri ma ki chut,OAG,GEN,Bkk your mother's pussy
1029,C38.721,khatam kardega matlab?,NAG,NGEN,Perfecting mean Krdega?
1030,C4.1323,Ek number bhai.... 🤟🤟 Great One,NAG,NGEN,Brother Number One .... Great One
1031,C4.702,"**पढ़ाई सिखाएगा दुनिया गोल है** ⚪  
 **अनुभव सिखाएगा दुनिया मादरचोद है** 🤘🏻🤘🏻❤️",OAG,GEN,** studies teach the world go round ** ** Experience teaches world mofo ** ️
1032,C4.1531,"BHAI AAP ON POINT HO BILKUL KI BOLLYWOOD KE ISS CHUTYAPE SE LOG INFLUENCE HOTE
H.. ABHI 10 DIN PEHLE KI BAAT H EK PSYCHO CHUTYE NE JO TIK TOK PE BHI APNA
RANDI RONA KARTA THA USNE EK LADKI OR 2 LADKO KO MAAR DYA OR PHR BC KHUD BHI
MAR GYA SUAR OR MERE SHEHER BIJNOR KA HI THA OR SALA KABIR SINGH SE BHOT
INFLUENCE THA WO !!!",NAG,GEN,BHAI AAP ON POINT HO BILKUL KI BOLLYWOOD KE ISS CHUTYAPE SE LOG INFLUENCE HOTE H .. ABHI 10 DIN PEHLE KI BAAT H EK PSYCHO CHUTYE NE JO TIK TOK PE BHI APNA RANDI RONA KARTA THA USNE EK LADKI OR 2 LADKO KO MAAR DYA OR PHR BC KHUD BHI MAR GYA SUAR OR MERE SHEHER BIJNOR KA HI THA OR SALA KABIR SINGH SE BHOT INFLUENCE THA WO !!!
1033,C4.1795,Ending chutiyon wali thi movie kii bc,OAG,NGEN,Was ending peaks just film
1034,C7.1300,Sahi bole ho bhaii..,NAG,NGEN,Right said Brother ..
1035,C7.542,Sahi he bro,NAG,NGEN,Right O Brough
1036,C10.536,"यार मज़ा आ गया इनकी बुद्धि भी इनकी तरह ही है, ये अपना नाम स्वयं कुत्ता, रंगा,
बिल्ला रख रहे है। हस हँस कर पेट फूल रहा है",NAG,NGEN,"Man His wit was fun even though they like, they are keeping their own name dog, painted, badge. Laughing laughing is carrying flowers"
1037,C36.690,"Mere hisab se homosexuals or samaj k dusre varg ko apasi talmel bnane m hi avi
bkt lagega...Islye army m inko permission avi to ni milni chahiye ...Qki kavi
v parivartan hona acha hota h magr uska smaj m or desh pr kya prabhav pad rha
h is bat ko ignore ni kiya ja skta....is bare m bichar thode bkt k bad ho yhi
acha hoga",NAG,NGEN,Mere hisab se homosexuals or samaj k dusre varg ko apasi talmel bnane m hi avi bkt lagega ... Islye army m inko permission avi to ni milni chahiye ... Qki kavi v parivartan hona acha hota h magr uska smaj m or desh pr kya prabhav pad rha h is bat ko ignore ni kiya ja skta .... is bare m bichar thode bkt k bad ho yhi acha hoga
1038,C7.579,"Bahut badiya review tha apka apne saare librel aur feminist ka muh band kar
diya .... Mere taraf se 1 lakh like apke liye...",NAG,NGEN,Was Excellent Review Your stopped all my mouth Librel and Feminist .... my side 1 million likes for you ...
1039,C4.1264,"Ladke ne dekh liya  
Khatam bhai. ...pyaar ho gaya .....😂😂😂",NAG,NGEN,Guy finished sees brother. ...Fell in Love .....
1040,C10.586,Ye Pakistani Maadarchod h,OAG,GEN,These Pakistani Madrchod
1041,C4.468,Yehi launda bacha sakta hai is generation ko,NAG,NGEN,This generation can save Ahi Johnny
1042,C7.2123,लिबरलस् को मूल्लों की नजर से स्त्रियोंकी छबी बहुत ही अच्छि लगती होगी!,CAG,NGEN,"Wives Librls eye to Mullon Cbi the very start, sharing!"
1043,C26.118,Police ko chahie ki jhute case me giraftari na kare,NAG,NGEN,Police should not arrest the false charges
1044,C4.541,Aap sandeep reddy vanga se milo,NAG,NGEN,You Meet Sandeep Reddy Vanga
1045,C7.1975,"Aap review se jyada faltu baaton pe jyada discuss kar k length bada kar dete h
video ka... aur ha sab aap ki tarah nhi soch sakte h.",NAG,NGEN,You can not think like we expand length of the Disks much on more frivolous things to review are the video ... and all you ha.
1046,C7.1055,"Mene kabir singh dekhi or puri film me bas ek hi darr laga rehta tha ki. Kahi
film khatam na ho jaye osssssssm movie sahid kapoor is a best actor in
bollywood😘😘",NAG,NGEN,The matter Kabir Singh observed and the whole movie was just stays the same fear. Said film should be finished Ossssssm Movie Shahid Kapoor received Best Actor in Bollywood
1047,C21.311,False rape case bolke spoiler review hogaya ye toh,NAG,NGEN,"False Rpe case Bolke spoiler review've done these symptoms,"
1048,C36.647.1,Ladko phir bhi army mein ho sakhti hain par smaglik nahi ho sakhta,CAG,GEN,Guys still Skta not Smglik on the Army vigorously
1049,C7.1274,Kyon Rajniti kar rahe ho bhai,NAG,NGEN,Why are politics brother
1050,C7.1673,Eai bhai kya hain movie review kar na liberal ka baat kyu Kar raha hain,CAG,NGEN,These brothers Why am talking not liberal do Movie Review
1051,C9.227,Modi shah ranga billa se bhi badtar hai,CAG,NGEN,Modi Shah worse than painted badge
1052,C36.717,Toh kya kehta ho bhai aab Indian army maugo ki fauj banai?,NAG,GEN,Toh What do you say brother created an army of Indian Army Mugo?
1053,C10.110,"Yeh Randhi roy mulla ka Randhi Hai, Chopra tum lok pagal Kuta ho,yeh
kutristuri' mulla ka Randhi Hai dymak m gobar bhara Hai",OAG,GEN,"It Rndhi of Rndhi Roy Mullah, Chopra you folk mad dog, it Kutrishuri ""Mullah's Rndhi full dung of termites"
1054,C4.129,Bhai.. Gajab😂🤣😂🤣😂,NAG,NGEN,Brother .. amazing
1055,C10.118,"Iska Baal chilwa kar kaleekh poto aur laat maar kar desh se bahar karna
chahiye",OAG,NGEN,The hair Cilwa the soot grandson and must kick out of the country
1056,C4.1230,"Bhai joker ka review  
..",NAG,NGEN,Review Brother clown ..
1057,C7.1081,Mast move he,NAG,NGEN,Mast move he
1058,C9.110.2,"नहीं भाई, ये दोनों तो अरुंधती के सगे भाई हैं। तभी तो उनका नाम बताया।उनका नाम
भी पसंद है, उनका काम भी पसंद है। बाकी भाई भी उनके भाई बन जाओ। बहन पुकारती है।
यही तो चरित्र है बहन का।",CAG,NGEN,"No brother, these brothers both Arundhati. That is why his name told me.Her name too, like his work. Other brother must become his brother. Sister crying. This is the character of the sister."
1059,C20.113.2,"@Prabhat kumar aurten Kya mardon ka dhyan nahin rakhtin ?  
Patni ho ya ma,A-z Jo ho sake tumhare liye kartin hai.  
Mere father ko meine pay nahin Kiya,bilkul jaise tumne alne mother ko nahin
Kiya .  
Meine hatred spread Kiya hai ,iss movie ne ?  
Rape cases fake hoten hai,agar aisa kahoge ,toh pata hai ,kitni masum ladkiyon
ko jhutta karar Diya jayega ?  
8 mahine k ladki ka rape ho jata hai ,uss par male ego movie banane nahin deti
Kya ?  
Z  
Ladkiyon ka iss samaj mein saman yogdaan hai.  
Tumhe izzat chahiye ,toh hamme b chahiye. Jo tum ghanta nahin dette .bas mauka
chahiye airton ki koi birai nikalni ki aur usse prachar Karne ki.  
Jaban ajj Ladd rahen hai kyun ki boundaries man rullers ne banae the. Agar
aurton ka Raj hota , toh bas santi hi Santi hoti.😌",CAG,NGEN,"@Prabhat Kumar Aurten Kya Mardon Ka Dhyan Nahin Rakhtin? Patni ho ya ma, come-z Jo ho sake tumhare liye kartin hai. Mere father ko meine pay nahin Kiya, bilkul jaise tumne alne mother ko nahin Kiya. I Hatred spreads, iss movie ne? Rape cases fake hoten hai, agar aisa kahoge, Toh know, kitni masum ladkiyon ko jhutta karar Diya jayega? 8 mahine k ladki ka rape ho jata hai, uss par male ego movie banane nahin deti Kya? Z Ladkiyon ka iss samaj mein saman yogdaan hai. Tumhe Izzat Chahiye, Toh should Hamme B. Jo tum ghanta nahin dette .bas mauka chahiye airton ki koi birai nikalni ki aur usse prachar Karne ki. Jaban ajj Ladd rahen hai kyun ki boundaries man rullers ne banae the. Agar aurton ka Raj hota, toh bas santi hi Santi hoti."
1060,C19.104,Abe bsdk ke pehle pudia thuk ke aa,OAG,GEN,Abe Bsdk the first Pudia sputum examination
1061,C4.1606,Kabir singh chutia movie hain.,NAG,NGEN,Kabir Singh Cutia movie.
1062,C4.226,Maza agaya reality jankar🤣🤣🤣🤣,NAG,NGEN,Fun Was the reality knowing
1063,C7.2427,Emotional intelligence kafii jayada dikhai gai hai Jo ki Achi bat hai,NAG,NGEN,It went Emotional Intelligence appeared much more that is good thing
1064,C19.183.3,100 me se 95% Rape Females Karti h,CAG,NGEN,100 me se 95% Rape Females Karti h
1065,C4.18,Breakup ke baad doosri Ladki se sex nhi karta kabir...,NAG,NGEN,After the break-up does not have sex with another girl Kabir ...
1066,C59.2021,"Yah Bhikhari ko nikal do Aisa Bhikhari ko Mulakat karna Nahin chahie Fikar
Rahana chahie",CAG,NGEN,It removes the beggar two that beggars should not be worried about the meeting
1067,C7.1301,"Agar aap Newton, Tumbbad aur Photograph ko aise dekhte toh accha hota.",NAG,NGEN,"If you see the Newton, Tubbad and photograph work out good."
1068,C7.1949.3,@Seedha UP76 se Khullam Khulla Ghoshna.,NAG,NGEN,@ 76 to blatantly announce to straighten up.
1069,C10.1175,Koi to hai Jo such bolta hai India main. arunditi Roy good 👍☑️,NAG,NGEN,Koi to hai Jo such bolta hai India main. arunditi Roy good ️
1070,C7.1433,Apne toh feminist ki ijjat utar di🤣🤣,NAG,NGEN,"The ups and respect of their symptoms, feminist"
1071,C25.541,ladkiyan bitch hoti hain,OAG,NGEN,Girls are between
1072,C21.40,BAhut acchi movie hai . section 375,NAG,NGEN,Very good movie. Section 375
1073,C36.1088,नहीं होना चाहिए आर्मी वाले दूसरों की मारते है खुद की मरवाते नहीं।,CAG,NGEN,Should not the army that is killing others not own Mrwate be.
1074,C4.795,Ayushmann Zinda baad.,NAG,NGEN,Ayushmann Zinda Baad.
1075,C4.979,"Bhai bollywodd ke writer ke baare me jo baat aap bolte ho wo proove ho gya...
Bigg boss ke show me ek bollywood writer aaya hai... Wo akhand chutiya hai....",OAG,NGEN,Brother talk about the writer of Bollywud you say he has Prove ... has a Bollywood writer show Bigg Boss ... That whole bloody ....
1076,C4.1171,"""jab tak hindustan mein cinema hai log chutiya bante rahnge""",CAG,NGEN,"""Unless cinema in India shall become bloody"""
1077,C33.102,"Nice video sir ye India me aam hone me 50 sal lag jayenge asi ek our video
banao",NAG,NGEN,NICE video head that will take 50 years to be common in India that make a the video
1078,C38.246,"[3:12](https://www.youtube.com/watch?v=ZzsAuDkXq1M&t=3m12s) bacha toh kar
paoge 😂😂😂😂😂",CAG,GEN,[3:12](https://www.youtube.com/watch?v=ZzsAuDkXq1M&t=3m12s) bacha toh kar paoge
1079,C4.2228.1,Notice v nhi kiya tha bhai mne to 😂😂🤣🤣,NAG,NGEN,Notice persons did not brother Mane then
1080,C7.2322,"Wo expect kar rahe the Shahid sharukh Khan jese samundar jaake chutiyapa kare
haath felake",OAG,NGEN,Him to the sea went Chutiapa as were Akspekt martyr Saruk mine hand Failake
1081,C7.882,"Mujhe th sharam aarhi hai logo ki soch itni gndi kese hogyi hai han veerey ki
weeding gndi movie thi pr woh jh bhi galat krrhi thi kisiko physclly ya
mentally hurt th nhi krrhi thi",CAG,NGEN,Mujhe th sharam aarhi hai logo ki soch itni gndi kese hogyi hai han veerey ki weeding gndi movie thi pr woh jh bhi galat krrhi thi kisiko physclly ya mentally hurt th nhi krrhi thi
1082,C4.698,"Bol tu chahe kuch bhi le ...sai ho galat ho seperate baat hai ...lekin all
over kahani yhi hai ki tere channel pe har us chiz pe video aayegi jo present
time me views de sakti hai...ek point tak acceptable bhi hai chalo lekin teri
koi hadh ni hai kyuki tu kewal ur kewal views chapne ke liye camera uthata
hai...iske alawa koi ur wajah ni dikhti...ek aisa hot topic ni hoga jispe teri
video ni hogi.",OAG,NGEN,Bol tu chahe kuch bhi le ... sai ho galat ho seperate baat hai ... lekin all over kahani yhi hai ki tere channel pe har us chiz pe video aayegi jo present time me views de sakti hai ... ek point tak acceptable bhi hai chalo lekin teri koi hadh ni hai kyuki tu kewal ur kewal views chapne ke liye camera uthata hai ... iske alawa koi ur wajah ni dikhti ... ek aisa hot topic ni hoga jispe teri video ni hogi.
1083,C21.261.1,ye bandA great hai,NAG,NGEN,These Banda Great
1084,C7.2264,Abhi abhi dekh kar aaya hu 😂😂😂😂😂😂😂😂👌👌👌👌👌👌👌wow....,NAG,NGEN,Just come to see now Who's ....
1085,C36.774.2,Ha tu cum karke goli chalana border pe.,OAG,NGEN,"Yes, you slug by Cum border pay."
1086,C4.909,"Thore aur sal ruko bhai.. main khud ki movie produce karunga.. Kese meri
chutiya Kat gaya woh dekhaunga aur kese move on hua woh bhi dekhega...
Bollywood se hatke hei ye story....",NAG,NGEN,Thore aur sal ruko bhai .. main khud ki movie produce karunga .. Kese meri chutiya Kat gaya woh dekhaunga aur kese move on hua woh bhi dekhega ... Bollywood se hatke hei ye story ....
1087,C68.167,"Kutta Jaise kutta hi rahata hai vaise Bhikhari Bhikari rahata hai usko mere
pass bhej do bheek mangne ke liye usko Laat Maar Ke Bhaga do my village
Siliguri 👠👢🤑😡😠👎🐕🐐🐐",OAG,NGEN,Dog's banished the dog remains the same is the way beggar is a beggar he killed him off to seek send me begging Two My Village Siliguri
1088,C7.1249,"Prateek, Kya aap Anjana Om Kashyap ki behuda news coverage ke upar koi video
banayenge?",CAG,NGEN,"Symbol, you create a video up of rubbish news coverage of Anjana Om Kashyap?"
1089,C9.182,Roy ka mtlb h ki jis trh amit modi mazak kr rhe usi ko smjhane ki koshis h,NAG,NGEN,Roy means trying to understand the kidding way Amit Modi level schools
1090,C61.1746,Kamini maa ki choud,OAG,GEN,Kamini mother Chaud
1091,C26.56,"Well done. I think Jahangir have taken right decision. Family ko barbaad krne
walo ke sath yhi hona chahiye .",CAG,NGEN,Well done. E think Jahangir Have Takein Right Decision. Family should be the same with those who ruin.
1092,C26.168,"Bilkul sahi kiya . Mere upar jhuta dhej ka cause dla hua h . Wese b mardo ki
koi sunta h ni .",CAG,NGEN,Got it right. Me are the Cause nugget false dowry. Nobody listens to schools free of Vesey B. Mrdo.
1093,C36.305,"अगर ये बात है तो महभारत की लड़ाई में शिखंडी को कृष्ण ने आगे क्यो रखा था? भीष्म
को मारने के लिए?ये अर्धनारीश्वर कौन है?",NAG,NGEN,"If this is the case, Krishna Lord Vishnu in battle Mahbart had put forward why? To kill Bhishma? Who is Ardhanarishvara?"
1094,C36.496,Sabse pehle to aise log army me jana he nahi chahengay.,CAG,NGEN,"First of all, people do not want to go into the Army."
1095,C7.2323,Kya review hai yaar chutiyagiri,OAG,NGEN,What Review Man Cutiagiri
1096,C10.1021,Aaj se Arundhati ka nam Kung fu kutti ho gaya h,OAG,GEN,Today named Arundhati have been Kung Fu Kutty
1097,C10.280,"Bilkul tum log sab kommnasht wale ranga billa aur kungfu kutton ki n j y j
aulad he ho. Inko aaj se kungfu kutta naam se he bulao kyonki inhone apne baap
ka naam bata dia hey. Good kommnashton ne apna naamkaran khud he kar Lia.",OAG,NGEN,Bilkul tum log sab kommnasht wale ranga billa aur kungfu kutton ki n j y j aulad he ho. Inko aaj se kungfu kutta naam se he bulao kyonki inhone apne baap ka naam bata dia hey. Good kommnashton ne apna naamkaran khud he kar Lia.
1098,C7.2424,"Ye review nhi tha only discussion tha pls pehle ki tarah review kara karo ye
liberal communist se bore hota hai",CAG,NGEN,The review had not only discussion was plus Women undergoing review before it is bored Liberal Communist
1099,C58.427,কা বাত 😂,NAG,NGEN,Ka Arthritis
1100,C21.155,"Mera movie dekhne ka plan, Aapke movie review pe rhta hai..jb aap suggest krte
ho ki ye movie Dekho tbhi Mai bhi movie dekhne jaata hu.thanks",NAG,NGEN,"I watch movies to plan your movie review on lives Hakkjb you Hoonkthanks viewing movies, these movies look only to do Suggest I"
1101,C4.1174,Shwetabh bro apka karz rahega is generation par...,NAG,NGEN,Whitish BRO will your debt this generation ...
1102,C4.1710.3,Kon c Amity me hua he,NAG,NGEN,Kon c Amity and results
1103,C10.152,Modia,NAG,NGEN,Modia
1104,C7.1949.5,"Ek gana banana chahiye  
Librandus ke gand me danda",OAG,GEN,Should make a song stick in the ass of Librands
1105,C4.1648.1,Soorma!,NAG,NGEN,Surma!
1106,C7.1681,Kakak भाई,NAG,NGEN,Kakak brother
1107,C7.2111,Kya kar rhe ho bhai,NAG,NGEN,What are you doing brother
