,ID,Text,Sub-task A,Sub-task B,en_translation
474,C59.958,DADA LV U,NAG,NGEN,DADA £ Y
475,C59.1666,Hmm r8,NAG,NGEN,Hmm r8
476,C59.346,Dada ar nam neben na,CAG,NGEN,Do not take nam grandfather
477,C59.446,"6i 6i 6i jar mobitti jemn se to temon e bolbe ...... Sob manus kei tar chakor
mone hoy tai jonno",CAG,NGEN,6th 6th 6th mobitti which is to say that he was his servant ...... all the people who think so
478,C68.190,"Meyer to kono dosh nai,mayer theke shikkha,jemon ma temon meye",CAG,NGEN,"There is no fault of the girl, learning from his mother, like daughter, like mother"
479,C59.733,বাজে মে রানু,OAG,NGEN,May punk Ranu
480,C68.313,"Ranu mandal akta sandehbesi jeyi lokta Omar sange oto kichu krlo..seyi manush
k opoman krte bibeke badhlo na",CAG,NGEN,"The man is a sandehabasi Ranu collar with my conscience, so do not insult people who karalosei not badhalo"
481,C59.156,Gunda der ke daka ucit,CAG,NGEN,Punk Dka longer appropriate
482,C59.107,Vaiya apnar kotha bolar voice ta khub sundor 👌,NAG,NGEN,It is very nice to talk to your brother's voice
483,C59.2098.4,আপনি আমার মনের কথা বলে দিছেন 😁😁😁😁😁😁,NAG,NGEN,You speak my mind grounded
484,C61.1037,No. 1 khanki .,OAG,GEN,No. 1 khanki.
485,C59.207,Vai o superstar na o Vikari Star 🌟,CAG,NGEN,Star superstar brother and not bhikari
486,C46.140,Ei kuttar bachcha guloke janto purite mara uchit.,NAG,NGEN,This son of a bitch values ​​should be burned alive.
487,C61.793,Chutiya sur ha harami singer,OAG,GEN,Yes bloody tune Singer cutiya
488,C68.288,Agni khoob Bhalo,NAG,NGEN,Fire a spear
489,C59.2127,Ranu mondal ke grina ke ke koro like koro,CAG,NGEN,Mondal the water grina to the koro koro like
490,C45.742,My nambar 9064592201 fon koro,NAG,NGEN,Mayan phone number 9064592201 Carte
491,C68.134,Ak Dom tek bolacho,NAG,NGEN,If Dom tek Bolac
492,C59.372,Waw bro nice video,NAG,NGEN,Beginners nice video bro
493,C59.1306,Jio vai lajabab 😇😇😇 akdom right,NAG,NGEN,Xiao Y Lajbab figures right
494,C44.343.1,এসব আপনাদের ধর্মে হয় আমাদের ধর্মে হয়না।,NAG,NGEN,This is your religion is not our religion.
495,C45.316,😂😂🤣🤣😂🤣😂🤣,NAG,NGEN,
496,C59.1615,"বাই পুরা কামাল করে দিয়ছ,,, একদম Right কথা বলছ,,,,",NAG,NGEN,"Right at the whole Kamal's brother has been talking about ,,, ,,,,"
497,C59.624,Ranu mondal diye bathroom poriskar korabo,CAG,NGEN,Ranu Zone will clean the bathroom
498,C61.1457,কুত্তার মতো ব্যাবহার মাগির বেটি।,OAG,GEN,Betty used as a cunt bitch.
499,C46.17,Are k ja ja sasti dia hoye6e....tate ami khusi noi..,NAG,NGEN,A punishment which her up .... I am not happy with the 6th ..
500,C68.933,ঠিক কথা আপনি বলেছেন,NAG,NGEN,You said exactly that
501,C44.111.1,Maja nichen naki???,NAG,NGEN,Or enjoying ???
502,C68.540,"রানু মাগী হায় হায় হায় হায় হায় হায় হায় হায় হায় হায়
কুত্তা সব সময় কুত্তা থাকে ও থাকবে।।।। ।।।।।।।",CAG,GEN,"Oh Oh Oh Oh Oh Ranu jade Oh, and the dogs will always be dogs .... ......."
503,C61.1592,Magi Akta fokinni,OAG,GEN,Magee Act Fokin
504,C45.310,Apnar kotha bartar theke eder bebohar bhalo.,NAG,NGEN,Better to use them to your message.
505,C59.290,Ami to mar shata akmot,NAG,NGEN,I agree that n NOTE
506,C59.687,Fokinni chuda magi ranu,OAG,GEN,Fokina miracle magicians wound
507,C55.114,"Cele tar more valo hoice . Arkom cele cele jatir kolonko . J bow ar hathe mar
khai tar to morai uchit",CAG,GEN,More like this happened to her cell. Such cell scandal cell nations. He died in his wife's hands should be beaten
508,C59.256,Nice bro...Osthir 👌👌,NAG,NGEN,Nice bro ... unstable
509,C47.53,মেয় রা বেশী খারাপ,NAG,GEN,Too bad girls
510,C68.1344,অনেক ভালো লাগলো ভাই আপনার ভিডিওটি,NAG,NGEN,Your video is very nice brother
511,C68.391,"Oke Abar station te pathiye dilei hoi kintu it's akhon samvab noi...1 number
er harami mohila",CAG,NGEN,"The station is designed to send back to him, but now it's not possible ... 1 Number of bloody woman"
512,C68.581,"প্রশংসা করা কঠিন, নিন্দা করা সহজ নিজেকে শোধরান।",CAG,NGEN,"It is difficult to appreciate, Correct yourself easy to take apart."
513,C68.12,"Valo laglo.but juto Mara ta dekhale valo hoto.besi valo hoto.nahole golpo
sonachen Mone hochhe",CAG,NGEN,"Lagalobuta like to see it die shoe hatonahale story sounds good, looks good hatobesi"
514,C68.187,ঢেঁকি স্বর্গে গেলেও ধান ভাঙে | ভাই ছাগলকে লাঙ্গল টানতে দেখেছো?,CAG,NGEN,Although the rice threshing-floor heaven is broken | Brother plow pulled see goats?
515,C68.637,Juto marai uchit,CAG,NGEN,Shoes should be threshing
516,C68.955.1,"Hmm akdom thik bolechen janina kno sobai ranu mondol k niye ato jolchy.
..asoly oder kachy erokom talent nei tai sojjo hocchy na oder",NAG,NGEN,"Hmm, I do not know why everybody said okay, so bring Ranu Burning Zone. Asali to them that there is no talent so far they have not hacha"
517,C59.1357,Darun vai ekdm thik,NAG,NGEN,Exactly great brother
518,C46.215.1,AYAN DAS kutta bole kukurder opoman krbena..kukurder nokher joggo noy era,NAG,NGEN,Ian slave hound dogs that are not eligible to nail the shame karabenakukuradera
519,C62.332.1,তুই অাসলে একটা মাগি,OAG,GEN,Well actually you're a cunt
520,C65.29,এরা আসলে মাঘা,CAG,GEN,They actually magha
521,C45.725,কোথায় দাদা এই জা গাটার নাম কি,NAG,NGEN,What is the name of the grandfather Jean garter
522,C68.629,He he sera diyecho bro,NAG,NGEN,O sera gave Bro
523,C46.25,"Ai dhoroner video upload kora aayin kore bndho kora dorkar. Ai sob dekhe
society nosto hochhe. Rape murder bere jachhe..",NAG,NGEN,We need to stop these kinds of videos uploaded by law. Society is being wasted like this. Rape is increasing Moors ..
524,C59.274,"কি যে ওর কন্ঠ সুর শুনলে পাড়েই বমি আসে,,, হিমেশের সালমান খান বেশি ফেমাস হওয়ার
জন্য এইসব পাগলদের কে প্রশ্রয় দেয়,,,,,",OAG,NGEN,"The tone of his voice is heard comes up indicates ,,, Salman Khan Himesh these lunatics to be more Who Indulge Famous ,,,,,"
525,C45.376,Kothai vii ata ami jabo😋😋😎😎,NAG,NGEN,Brother Where will I
526,C59.1462,100% write bolechen vai thanks for video,NAG,NGEN,"100% said the brother, thanks for flying video"
527,C59.1865,রানু একটা খানকি ওকে কুকুরে লাগাতো😊😊😊😊😊,OAG,GEN,Ranu her a slut dogs lagato
528,C45.686,First er meye ta amk cheat korechilo,NAG,GEN,"First, it's the girl who had voted for me"
529,C59.1229,Ranu mobdol ekta tal,NAG,NGEN,Made a lump Ranu
530,C44.99,এর শরীরে পশুর রক্ত বয়ছে।,NAG,NGEN,Bayache the blood of the body.
531,C67.135.3,এরকম না বলাটায় ভালো।,NAG,NGEN,Balatai not doing well.
532,C59.1084,A e tui Kay ray 😘😘😘😘,NAG,NGEN,A e tui ray
533,C59.93,I heat rano mondol sali,OAG,NGEN,I heat rano mondol sali
534,C68.1293.2,"ranumon
😹",NAG,NGEN,ranumon
535,C68.1217,রানু কে জোতা মেরে আবার ভিখার জুলি হাতে দরিয়ে দেয়া হক,OAG,NGEN,Ranu is a shoe-Haq betrayed him again Julie bhikhara
536,C46.174,Ei protibad Andre sobar ..bichare sbai khusi ..mayter attar Santi kamona krii,NAG,NGEN,Andre protest bicare everyone happy all the souls metera
537,C61.501,Ranu k aga pagola chudto akhon Himesh Reshammiya choda kina Janina,OAG,GEN,Ranu k aga pagola chudto akhon Himesh Reshammiya choda kina Janina
538,C61.954,"খানকি হিংসুটে মহিলা,,,,,",OAG,GEN,"Slut jealous woman ,,,,,"
539,C46.201.1,Rome e meye der somman chilo na chilo japane,NAG,GEN,The girl had never had the honor of Rome in Japan
540,C59.121,Bolecho,NAG,NGEN,Tell
541,C45.563,Address ta bolbe,NAG,NGEN,Address tell
542,C44.109,Chee chee bhai bon er prem hoye kokhono,NAG,GEN,The brothers and sisters in love than ever to
543,C68.1157,"Ek garib singer ko aage barhte dekh ke jalan hota Hai Aap sab ko kya Jo hota
Hai hone do",CAG,NGEN,A poor singer further irritation to meet growing you two to do all that is
544,C44.68,"Ete vi boner pabritra smprka nsta hai...... Chi.. Chi.... Lajja... Rakhir
pabritra bandhan o nsta hye glo.... 🤮🤮",NAG,GEN,The brothers and sisters are pabritira relationship ...... .. Chi Chi holy bonds .... shame ... Rakhi was destroyed ....
545,C45.547,ওদের কে ওদের মতো থাকতে দাও. ভিডিও টা করা উচিত হয় নি. ওদের ও তো ফ্যামিলি আছে.,NAG,NGEN,Let them be who they like. Should not have video. He is their family.
546,C45.578,"Hello , chakdaha r mal tar ph no ta neacho, no ta thakle dao? Ranaghat theke
contact korte subidha hobe.",NAG,GEN,"Hello, no W cakadaha the material of the dance, if you do not give it to? Will benefit from Ranaghat to contact."
547,C59.517,"<https://youtu.be/ezfCKHJyAw4>
Dada amara akta new youtude channel kulachi aktu dhako",NAG,NGEN,<Https://youtu.be/ezfCKHJyAw4> Dada obey akta new channel youtude kulachi aktu dhako
548,C59.7,Lovely vai,NAG,NGEN,Lovely vai
549,C44.242.1,@Binayak purkayastha মামির সাথে প্রেম করে খুব মজা পেয়েছিল মনে হয় krisno,CAG,GEN,@Binayak purkayastha aunt had too much fun to think love krisno
550,C68.170,ঠিক বলেছেন। আমি খুশি হয়েছি তোমার কথা শুনে 😊😊😊😊,NAG,NGEN,Right. I'm glad to hear your voice
551,C59.1686,", , ও সাধারণ,ভাই, মনের কথা,ক য়ছেন",NAG,NGEN,", And in general, brother, heart, facing"
552,C65.414,পরিমুনি অনেক কিউট,NAG,NGEN,Parimanira cute
553,C61.617,Bokachoda Ranu khapi,OAG,GEN,Bokachoda wound Khapa
554,C68.491,"কুকুর কে লাই দিতে নেই, যদি লাই দেওয়া হয় তাহলে মাথায় ওঠে বসে,",CAG,NGEN,"Lai dogs who do not pay, then indulge in the head, sitting,"
555,C44.260.1,"@Sruti Paul ,ধর্মকে বিজ্ঞান দিয়ে যুক্তি দেন ৷কি কারনে মাসির মেয়েকে বিবাহ করা
যাবে না , তাদের উভয়ের রক্ত সম্পর্ক যেখানে আলাদা ৷",NAG,NGEN,"@Sruti Paul, argue religion with science ki can not marry the daughter of the aunt, blood relationship, where both of them are different."
556,C59.2056,Paglachoda akta,OAG,NGEN,Paglachoda Act
557,C68.363,Matal chudi mohila...,OAG,NGEN,Cudi drunk woman ...
558,C44.16,এই নাটকের সবাই গুসটি চুদি,OAG,GEN,All of this drama gusati cudi
559,C45.767,ইনডিয়ানরা এ বয়সে এসব করে লজ্জা সরম নাই। বাংলাদেশ হলে সোনায় গরম জল ডেলে দিতাম।।,OAG,GEN,At the age of shame that the Indians did not sarama. Dell had hot water in the gold Bangladesh ..
560,C59.1131,Anti DARPA hate lanka,NAG,NGEN,Anti DARPA hate lanka
561,C44.204,"Chiii bhai boner pobitro somporko, valobasa ta k nongra korlo era, chii. Esob
ekdm dekhano thik na.. Amr sathe keu ek mot??",NAG,NGEN,"Ciii siblings pure love of what seemed dirty, cii. .. I just do not show up at one of these total ??"
562,C61.1967,tha.hole.akon.tu.bikka.kor.bora.magi,OAG,GEN,Thahaleyekonatubaikkakaraboramagi
563,C68.763,Koyal ar baba Ki tora juto Marlo naki???,CAG,NGEN,What are you and your father's shoes Marlowe quail ???
564,C68.464,আরএটা সতো জেছাগলদিয়েহালচাসকরতেগেলেএমনি হয়,CAG,NGEN,And when it is thus jechagaladiyehalacasa
565,C45.166,eder number pawa jabe?? kintu genuine chai,NAG,NGEN,These numbers can be found ?? But like genuine
566,C47.120,মেয়েটার মা হচ্ছে হারামি,OAG,GEN,Her mother is the bastard
567,C59.573,Hmm bhai apni kintu akdom thik bolechen,NAG,NGEN,"Well brother, you said okay, but"
568,C44.183.2,সহমত ভাই,NAG,NGEN,Agree Brother
569,C59.55,👌👌👌,NAG,NGEN,
570,C59.1932,Right dada,NAG,NGEN,Right dada
571,C59.1943,indian er muchi o english pare.,CAG,NGEN,indian er muchi o english pare.
572,C44.230,"story ta sotty korun,manusher mon j emon hai Keno 😭😭😭😭",NAG,NGEN,"The story is true, why is it that the human mind"
573,C46.36,"এর প্রকৃত বিচার তো আজও হল না,প্রত্যেক বাঙালি কে একটাই আমার আবেদন পরের
নির্বাচনে এমন একটি সরকার নিয়ে আসুন যাতে এই সমস্ত দিন আর বাংলার কোনো মানুষকে
দেখতে না হয়...ছি: ছি: ছি:😢😥😫",NAG,NGEN,"It is still not the actual trial, each of the Bengali who's one of my application, so that the next election of a government of the day, and the people do not see any ... phew phew phew"
574,C46.257,Meyera ki konodine nirapad hote parbe na,NAG,GEN,Girls can not always be safe
575,C44.226.2,@হিয়াশা জামান হীর Tor maar guder chamra keta football baniye khelbo,OAG,GEN,Zaman hiyasa hira @ Tor maar guder chamra keta football baniye khelbo
576,C59.596,"Okrithoggo mohila akta😡😡

Birokthikor",CAG,NGEN,A boring ungrateful woman
577,C68.37,"কোথায় কোয়েল মল্লিক রানু মন্ডলকে জুতো ছুঁড়ে মারলেন??
ভূলভাল টাইটেল দিয়ে দর্শক টানতে চাইছেন??
যত্তসব চিটিংবাজী কথাবার্তা৷",CAG,NGEN,Koel Mallick where Ranu Mondal threw shoes ?? Bhulabhala seeking to attract visitors with the title ?? Bullshit citimbaji speech.
578,C59.1144,Tik dada tik,NAG,NGEN,Only dada only
579,C59.933,a khepir bhacha,OAG,NGEN,a khepir bhacha
580,C45.77,Address send koro,NAG,NGEN,Address send koro
581,C46.111,Muslim জাতি টাকে হাটাতে হবে,OAG,NGEN,Muslim nation will walk
582,C59.956,"বা‍ঃ
মৃণ্ময় দা
বাঃ",NAG,NGEN,The Bah Bah mrnmaya
583,C59.977,Ranu Mondol k valo lagena chat,NAG,NGEN,"Ranu Zone A, not good chat"
584,C59.1035,"eta ekta gandu
r jara er kathai hasche tara vhebe dekho keno haschho",OAG,NGEN,They are smiling at the thought of who shall bear a gandu This is why you are laughing on
585,C46.188,"Dear Viewers Amader deshe repist Der eto utpat kno jano perliament eder Jonno
fansir bill pass kore na",NAG,NGEN,Why is so much of a nuisance repista bhiyarsa to our country for the execution of the Parliament does not pass the bill
586,C61.324,"Ranu Mondal Satcunni, Petni . Tar modhe ar Vikharur modhe kono difference nei",OAG,GEN,"Ranu Zone satakanani, monster. There is no difference between him and the bhikharura"
587,C59.1277,"রানুর এ জাতিয় কথা গুলো শুনতে খারাফ লাগে এটা সত্য তবে এ সত্য রানু একজন মানসিক
রুগি। বিসয় টা নিয়ে মাতা মাতি করার ছাইতে তাকে বুজিয়ে সুজিয়ে এগিয়ে নিয়ে জাওয়া
কোন বেপার নয়।",NAG,NGEN,"Amanullah is the national kharapha to hear the truth, but the truth is it's a mental rugira Ranu. Bisaya am the mother of Mati sujiye filled up ahead of him gives the chaite is no affair."
588,C68.109,রানু মণ্ডল কে ধ্বংস করতে আসছে নেমেসিস😂😂,CAG,NGEN,Who is coming to destroy the Nemesis zone Ranu
589,C68.542,Ek dom r8,NAG,NGEN,A Dom and 8
590,C59.167,Fatiye diye6o bhai,NAG,NGEN,And brother of the 6-shattering
591,C45.612,"পতিতাদের জীবন খুব দুঃখের প্লিজ ওদের নিয়ে কোনো মজা করবেন না ওরা পেটের দায়ে এই
খারাপ কাজ করে তাই ওদেরকে নিয়ে কোনো বাজে কথা বলবেন না",NAG,NGEN,"Unfortunately, life is not fun for any of them prostitutes, please do not they do this is bad for the stomach, so do not talk bad about them"
592,C68.776,Ranu Mandal ke juton Khule mara uchit,CAG,NGEN,Footwear open dead proper Ranu Board
593,C68.258,Ranu pethnir Kotha bolar style dekhlei boza jaye akdom faltu,OAG,NGEN,It's absurd to talk about the style of the apparition see Ranu boja
594,C59.1804,"Ranu j dimma gay"" khali golay or gan tooo kutta raginir mato bicchiri lagy",OAG,NGEN,"Ranu h dimma gay ""empty voice to his music and put ugly as a dog raginis"
595,C44.221,"এটাও,,দেখার বাকি ছিল",NAG,NGEN,"It remains to be seen ,, was"
596,C46.262,Ei suyor derke jento puriye Mara dorkar,OAG,NGEN,The boar itself to being burned alive
597,C61.1583,Hitire cudi,OAG,GEN,Hitire cudi
598,C68.1335.1,"Todear kono kaz nai, hingsute",CAG,NGEN,"And der r no this or z, duty used g stearyl"
599,C68.857,সব থেকে খারাপ লাগছে অতীন্দ্র দা কে অপমান করেছ,CAG,NGEN,The worst feeling of all who have reproached Atin
600,C45.646,Sotti onader jibon khubi koster...,NAG,NGEN,Their life is very painful ...
601,C45.583,Part 2 koro,NAG,NGEN,Part 2 koro
602,C44.1,কলকাতায় এসব হয়।,NAG,NGEN,These are Kolkata.
603,C61.875,Tui khanki sali aknumber ER,OAG,GEN,Sali's number one slut tui
604,C59.1782,Super dada,NAG,NGEN,Super chest
605,C44.363,"Samu & paramita dujon e to mara geche tobe ae history ta ki bhabe dekhano holo
sudhu matra letter ta dekhe.................???",NAG,NGEN,Samu & paramita dujon e to mara geche tobe ae history ta ki bhabe dekhano holo sudhu matra letter ta dekhe ................. ???
606,C59.1613,magi codi,OAG,GEN,Give magi
607,C45.403.1,Address ta kothay,NAG,NGEN,The address where
608,C68.1122,Or mukhe juto maro,OAG,NGEN,Hit the mouth juto
609,C68.534,মহিলা মনে হয় মানসিক রোগী। না হয় অহংকার বেরে গেছে।,CAG,NGEN,Women think with mental illnesses. Pride is not increased.
610,C68.566,Kukurer pete ghi soyna,CAG,NGEN,Sayana dog's belly butter
611,C45.797,Naujubilla Allah tumi aderke sotik phote niye chalo,NAG,NGEN,One of those whom God's proper blooms nauyubilla
612,C59.1256,"রানু ফকিন্নি মাগি, মাগি মাগিই থাকবে",OAG,GEN,"Ranu phakinni cunt, cunt will magii"
613,C59.1821,সুপার কথা ভাই,NAG,NGEN,Super's brother
614,C67.144.2,Shotti,NAG,NGEN,Shetty
615,C59.1671,Ranu mondol kore shudhu gondogol😂😂,NAG,NGEN,Ranu only went Zone
616,C46.179.1,ekdom eder etai kora uchit😠😠😠,NAG,NGEN,That's what they should be
617,C59.2055,দাদা রানু মন্ডল কে আবার ভিক্ষা করা দেখতে চাই,CAG,NGEN,Who would like to see beg grandfather Ranu Zone
618,C68.646,Ranu 👎👎😠😠😠,NAG,NGEN,wound
619,C59.1147,Mathi hokin hoba na ke hoba b......,NAG,NGEN,Mathi hokin that is for b ......
620,C59.1673,"ভাই তুমি কি মাইক্রো ফোন ব্যবহার করো,please বলো.",NAG,NGEN,"Brother can you use the micro phone, please tell me."
621,C45.214,Dada part 2 kabe debe,NAG,NGEN,Kabe be given part 2
622,C68.1350,Akdom tik,NAG,NGEN,Data Tick
623,C59.1928,Hmm Ranu di,NAG,NGEN,Hmm Ranu in
624,C59.713,O ki dile dada,NAG,NGEN,And as the surface
625,C45.548,মাঘীর কতো ঢং টাকার লোভে,NAG,GEN,How to make money Maghi ring
626,C59.1508,Khankir. Bachya. All are fake. Modified video,OAG,GEN,Khankir. Bachya. All are fake. Modified video
627,C68.607,Kala choda ranu,OAG,GEN,CLA Chod ranu
628,C45.402.3,@Trisha Biswas kibabe jabo,NAG,NGEN,Jabo draconian @Trisha Biswas
629,C59.1592,যারা এই ভিডিওটি unlike করছে তাদের এবং রানুকে ভিক্ষা করতে পাঠানো উচিত,OAG,NGEN,This is unlike the video should be sent to them and beg ranuke
630,C45.286,Khanki blli kake tui.... tui sei joggou nos,NAG,GEN,Who did you say you're the slut .... nos sacrifice
631,C61.1640,রানু কে চুদবে 100 টাকা লাগবে,CAG,GEN,Who does it cost Ranu cudabe 100
632,C45.140,Kothay ata,NAG,NGEN,Where is it
633,C68.171,কুকুর বাচ্চা রানু মন্ডল 😠😠😠😠😛🦍🦍🦍🐵,OAG,NGEN,Ranu dog Baby Zone
634,C59.150,Band Ranu kape,NAG,NGEN,News ranu Cup
635,C67.3,এই কংকি মাগি তর লয়জা নাই,OAG,GEN,This is not layaja kanki serious cunt
636,C68.353,Ekdom thik kotha bolecho tumi....,NAG,NGEN,You're absolutely right about ....
637,C59.1311,Ranur chul guli tene tene abar tation a niye gele vlo to🤣🤣,OAG,NGEN,When the dragging of the hair at the back of Amanullah tell tasana
638,C44.115,ছি ছি ছি এসব ভিডিও দেখাও পাপ,NAG,NGEN,The video show sin Bo Bo Bo
639,C68.840,Bikhari Mon bikhari,CAG,NGEN,Scattered in scattered
640,C59.995,Vikari vikari thakbe. .,CAG,NGEN,Pathogenetic pathogenic Tkbe. .
641,C45.729,Kun jaigar bro bolbe ki,NAG,NGEN,Kun Jaigr Borough Bolbe
642,C68.980,Upni prusondo dhalokotai bolesen apni tanks,NAG,NGEN,Upani prusanda tanks in dhalakatai balesena
643,C59.1614,ঠিক বলেছেন ভাই,NAG,NGEN,Brother just said
644,C59.1493,Joy gurudev 👃.tumi ekdom thik khata bolecheo.ahankar pataner mul Karan🤟🤟,NAG,NGEN,You are absolutely right to win the Master Register is the main cause of the fall balechenaahankara
645,C45.262.2,"আসবে বন্ধু , সঙ্গে থাকুন ।",NAG,NGEN,"Friends come, stay tuned."
646,C55.20,ছেলেটাকে মেয়ে হয়ে জন্মালে ভালো হতো,CAG,GEN,If you would like to be born a girl child
647,C59.650,দারুণ বলেছো,NAG,NGEN,You're cool
648,C68.1085,Nije public er sate jochuri kore abar onner vul nie ganbaji merona,CAG,NGEN,Larceny itself to the public again on the mistakes of others janabaji nie merona
649,C68.178,"Dada Ami tomake bolchi. Koyel tomar mukhe juto chhure marlona keno? Lathkhor
maler lathkhor video",CAG,NGEN,"Brother, I'm telling you. Marlon quail threw a shoe in your mouth, why? Male lathakhora lathakhora Video"
650,C45.167,Gudher number,NAG,GEN,Gudher number
651,C46.250.1,"Jara amanus hoi tara kono dhormer hoi na...oder moddo hinduo chilo...tai
dhormer nam na dey janoar bola dorkar...",NAG,NGEN,They are not any of those superhuman ... ... that they were backing Hindu religion does not give the name of the animals need to tell ...
652,C68.502.1,"ওর দলের ভিখারী গুলোও আর ওর পাশে থাকবে না।রানু মন্ডলকে ভিক্ষা দেওয়ার লোকজনও
কেউ থাকবে না।ওর ভিখারী বন্ধুদের কাছ থেকে ভিক্ষা করে শেষ জীবন কাটাতে হবে।""অতি
চালাকের গলায় দড়ি""।",CAG,NGEN,"He and his team, including the beggar to beg the people will have no naora Mondal naranu side meant the end of his life from the begging to be spent. ""Very clever hanging."""
653,C65.355,পরিমনি একটা খানকি,OAG,GEN,Parimani a slut
654,C44.362,erkm relationship er kono manei hy na . 😒😒,NAG,NGEN,This relationship does not mean anything.
655,C68.205,Er shomporke kono comments korteu rucite bade.,CAG,NGEN,Rucite led to any comments about this.
656,C68.713,ওই জন্যই বলে জুতো সোনার হলেও সেটা পায় রাখা উচিত ওটাকে কখনো মাথায় তুলতে নেই,CAG,NGEN,"The reason is that the shoes were gold, but keep in mind to make it there"
657,C68.788,"ভিক্ষা মানুষ মেয়েকে ভিক্ষা করতে দিলে ভালো হতো , কারণ আকাশে তারা মত জীবন
উজ্জ্বল তা করে তবো অতিন্ধকে ভুলে যায়,অতিত কথাটা",CAG,NGEN,"If people would like her to beg alms, because of the bright stars in the sky like a living atindhake tabo forgets it, past it"
658,C44.328,"ora 2jon e mara gachea tahole oder majhea ki hoeacilo seta bakira ki kore
janlo..shadu akta lettr dke ato kcu jna smvb noy. jeta odr mjhea hoeace seta
snno keou ki vbe jnbe. man gra batate hy kcu",NAG,NGEN,ora 2jon e mara gachea tahole oder majhea ki hoeacilo seta bakira ki kore janlo..shadu akta lettr dke ato kcu jna smvb noy. jeta odr mjhea hoeace seta snno keou ki vbe jnbe. man gra batate hy kcu
659,C46.152.1,"মোল্লাদের ঘরের মেয়েদের এরকম ধরে যতদিন ধর্ষন না করা হবে, তত দিন এরা শায়েস্তা
হবেনা।",OAG,GEN,"As long as the mullahs that the girls would not be raped, so they will not be punished."
660,C68.662,Ranu ka juto mara dorkar,OAG,NGEN,Who needs shoes Ranu killed
661,C68.323,Thik koreche😁😁😁😁😁😝😝😝😝,NAG,NGEN,Has just
662,C59.123,মিরনময় দাদা আমি তোমার বড়ো fan,NAG,NGEN,I'm your biggest fan grandfather miranamaya
663,C59.601,Sotti darun laglo mayri,NAG,NGEN,I Love Mary
664,C59.1098,Darun darun,NAG,NGEN,Darren Darren
665,C65.439,"আমাদের দেশের এসব কি। যে কাজে যান সুস্থ মাথায় সুস্থ মনে। দশকের তো বলতে হবে।
ছেলে টা। চেহারা টা ভালো। অপরিষ্কার। চুল দাড়ি ঘূনা লাগছে।",CAG,NGEN,What our country. That seems to work well on the whole. I would say decades. PM's son. Good to look at. Unclean. I'm ghuna beard hair.
666,C65.442,হট পরি মনি,NAG,GEN,Hot angel MPs
667,C46.106,AROKAM TASER ADA ANEK JAGAYA A KHUNO CHILCHE.,NAG,NGEN,Rokama tasira issued several space cilache the khuno.
668,C46.254,Fasi chai kuttar baccha der,OAG,NGEN,Fasi tea Kuttr child while
669,C59.232,Sera vai just jhakkas,OAG,NGEN,Serra y Just Jkkas
670,C61.1662,Ei khanki ke abar or nijer jaigay pathanu hok.......,OAG,GEN,Who is this prostitute to be sent to his own place .......
671,C59.1162,Ami atai sunta chaichelam,NAG,NGEN,This is what I wanted sumta
672,C68.292,Digital bhikhari hahahaha 😂🤣🤣🤣😂😂,CAG,NGEN,Digital beggar Hahaha
673,C44.337,Somaja akhono sikhar khub ovab!,NAG,NGEN,Society is still very lack of flame!
674,C59.1509,Ha ha ha chotolok salar fokinni,NAG,NGEN,Ha ha ha salar degrees Chotol drink
675,C65.251,গাড়ির ভিতরে রেপ কর,CAG,GEN,Rap inside the vehicle tax
676,C59.1862,hi ha ha ...akdom thik bolechen vhai....,NAG,NGEN,Only ha ... data properly Bolechen acquiring ....
677,C44.196,Paglamir akta sima ache,NAG,NGEN,There is a limit of insanity
678,C68.268,"Adam thik Kotha Bole bhai Ranu John barrel hai tokhon Chilam Ami Aar Amar Ekta
Bondhu chai Kichu Din pore Ranu pagali Bol Ve Bhikhari Bhikhari Thakur Arora
na Ghate public Jamun Mathur niche pahle",CAG,NGEN,Adam thik Kotha Bole bhai Ranu John barrel hai tokhon Chilam Ami Aar Amar Ekta Bondhu chai Kichu Din pore Ranu pagali Bol Ve Bhikhari Bhikhari Thakur Arora na Ghate public Jamun Mathur niche pahle
679,C59.2101,এই মহিলা একদিন হিমেশকে অসিকার না করে বসে।ফালতু মহিলা একটা।,CAG,NGEN,"One woman, who does not deny that Himesh basephalatu a woman."
680,C45.514.3,আমার মনে হয় তুমিও ওই সব কাজে লিপ্ত আছো শালী মাগি,OAG,GEN,I think you're involved in those sister cunt
681,C59.457,tue akta baler mata fkini,OAG,NGEN,tue act baler points fkini
682,C61.1772,Tui sali mother chod,OAG,GEN,Ntui Sully maternal leave
683,C61.872,Chudir beta,OAG,GEN,Chudir beta
684,C68.115,Ake juta pata koren,CAG,NGEN,It was wrought shoes
685,C68.461,Ranu Mondol k gutor bari mar,OAG,NGEN,Ranu Zone A gutora Home n NOTE
686,C59.1635,"কথায় আছে কানাকে পথ দেখাতে নেই পাগলকে যদি ভালোবাসে তাহলে সে বলে আমাকে মেরে
ফেলবে যেমন হল রানুর বেলা",CAG,NGEN,"There are no words to show the way kanake pagalakeo loves you, then he is going to kill me, as during Amanullah"
687,C45.685,50 taka thik ache,NAG,NGEN,OK 50
